Data,Totale,neutral,positive,negative
01/10/2016,37,35,2,0
02/10/2016,268,211,56,1
03/10/2016,180,169,11,0
04/10/2016,183,173,9,1
05/10/2016,155,151,2,2
06/10/2016,53,53,0,0
07/10/2016,122,112,0,10
08/10/2016,24,24,0,0
09/10/2016,246,244,1,1
10/10/2016,141,141,0,0
11/10/2016,180,180,0,0
12/10/2016,55,55,0,0
13/10/2016,72,72,0,0
14/10/2016,42,42,0,0
15/10/2016,55,55,0,0
16/10/2016,74,71,1,2
17/10/2016,49,47,2,0
18/10/2016,27,26,0,1
19/10/2016,45,39,1,5
20/10/2016,58,57,1,0
21/10/2016,66,64,0,2
22/10/2016,40,40,0,0
23/10/2016,14,14,0,0
24/10/2016,18,18,0,0
25/10/2016,52,52,0,0
26/10/2016,77,75,2,0
27/10/2016,105,101,4,0
28/10/2016,36,32,4,0
29/10/2016,142,131,5,6
30/10/2016,102,90,10,2
31/10/2016,2,2,0,0
