Username,Tweet,Follower
_Carabinieri_,1,18767
_Co_Bra_,1,37
_silviaJZ4_,1,2617
01e3feec74fe4e6,1,142
109lore,2,152
13doule,1,562
1lupogrigio,2,1674
2014Monaco,1,35
24zampe,4,2676
25a1f0b80464487,64,56
37Boogie,4,35
7SirAlex,1,181
84Pablita,7,67
87Sary,1,3787
93607bc97c2b480,1,143
a_portigliatti,1,648
aamaa_es,1,2464
abioplastiche,1,1700
adbonanni,1,110
adriespo,2,635
AEAFMA,1,5167
Agenzia_Dire,1,7206
AgiproNews,2,1649
Agricolae1,2,3666
ailinon80,2,399
AiseStampa,1,3747
ak1010,1,946
alberto_pilotto,1,3304
AlbertoIonna,1,775
alcinx,16,236
aldoceccarelli,2,11865
alebarone80,1,338
alehastasiempre,1,1219
AlePalmi82,1,152
Alescios,1,143
Alessan61795171,1,14
AlessandraRaina,1,330
alessandro_diz,1,189
alessiabrunett,43,116
AlessioFraumene,1,120
alexandercaper1,1,176
AlexFacchinetti,1,584
AlexKensei77,1,96
alexniculae,1,23
ALFONSODiego669,1,7
AlfonsoDinamite,1,17
AliceBenacchio,1,29
allattamento,1,1176
AMAKD301,1,760
amdisessa,1,765
AmodeoCesare,1,33
AmoSaletta,2,20
and_bassi,1,1340
ANDAF_CFO,1,208
AndFranchini,10,16479
Andrea_Covre,1,744
Andrea_Radic,1,31903
AndreaBrandima1,1,328
andrearipa90,2,64
ANDREAZANETTIN,1,4103
andruszka71,2,912
Andy72P,4,84
angelamineo14,3,32
angelinabiz,1,43
angelinascanu,1,1456
angeloderosa1,2,59
anglergangler,1,303
Animalisti_FVG,1,8737
annabonfi,1,551
AnnaCongelata6,3,294
Annagmilan,2,402
AnnaNigra,2,1275
annaric95744795,1,323
AntoDiMario,2,2761
Antomar555,1,84
AntonioAlizzi82,1,619
AntSagliocca,1,801
anucara,1,2319
apamcyl,1,2931
APapanikolop,1,461
ar_cavaliere,1,245
aranciaverde,1,1827
ArcangeloMonta1,1,0
archiettoliber,1,223
arcuanto,1,14
arevmine,1,3164
Arieliaghetto,2,56
arlettisaverio,1,7
Arnatak,1,935
arpaumbria,1,1443
Ascanio111,1,1765
Asch_63,1,42
AssocAReS,1,2176
atlantide_Chris,1,1329
atrejurm12,14,23
attilioc39,1,1025
AUGC_VALENCIA,1,1957
Augustaonline,1,605
autoemotodepoca,1,1796
autribunal,1,529
avantinoi,1,391
aviation_report,2,1780
Avramopoulos,1,18381
AvvMdiBari,4,405
badiagnano,8,45
bagaf87,1,37
barbarab1974,2,543
Barbieri156D,1,1940
barlettam769,15,30
baronegiuseppe,1,2104
BartoliTommy,1,19
Barzaglier,3,1911
battaglia_persa,1,403
battistabd,1,236
BBInsider3,1,13
bdg_vi,1,322
Bea___gallo,1,600
Beailesoloio,1,919
bealucarella,1,864
beamontini,1,4151
becare_29,1,1675
Behemoth80,1,914
Bejonce77,1,976
BelindaDi,1,71
bellocch,1,1431
Ben82589094,1,0
BenedettaCasu,62,119
BeniaminoGiust1,1,9
benny2216,1,89
beria_giancarla,1,119
berlinialberto,1,1233
BerniToledo,1,993
Bessico2,1,175
betelgeuse2010,1,53
bettinagalo,1,3940
BettoGigliola,2,60
Bettons93,1,99
BGrisafi,1,3757
bighelius,1,372
Bio4Expo,1,1249
bio4xp,1,2005
BiogalFa,15,627
biomillarte,1,941
bioqualita_,1,89
blrdmancapps,1,13
bolartur,1,821
BPtobia,1,573
BrindisiReport,2,3272
brindisitime,2,65
BruceLeeHustl4,1,27
Brunellaaaa_,1,13
brunoforesi,1,369
BuonoClaudio,1,1475
byzio66,1,832
c0dd6789363840e,1,3
caffeineheadx,1,1204
CaioneMarcello,1,11
CaleEuropaEdic,2,1460
caligola1974,1,1340
camgiaci,1,131
CampioniGianni,1,17
canalesicilia,9,233
carincilaura,1,23
carla_pantano,1,191
carlodaverona,1,811
CarloVeber,1,6
CarmelaVampo,53,57
Carmelo_M86,1,275
caronenicola93,1,40
Casear_Iulius,11,350
CasilinaNews,1,133
casolarof,2,4
Cate0175,1,1453
cayley__C,1,23
ccarchitetto,1,184
CefarattiEnric1,1,360
CelentanoLuisa,1,25
Cesaremacc,1,157
cfdp33,1,206
Cfm_Arpacal,1,376
Changement71,1,373
Cheru65,1,1236
ChiaraDefeo,1,312
chiaraperte,1,388
chruggeri,1,3479
CiPintus,1,47
cisomgenova,3,325
Cityrumors_it,4,4195
Ciuina06,1,73
CLamoglie,1,15
claudiabilli,1,66
ClaudiaC111,1,786
claudiomio,1,22
Claudiowellphon,1,201
ClemensMarella,1,341
ClementeScafuro,1,155
clide72,1,23
CO_WhiteDwarf,1,67
coccinellasf69,1,64
Coccynella500,1,1539
ColorsSounds,1,435
ComitatoIdoneiN,1,258
comunebassano,1,619
ConnyTobermory,1,578
ConsLomb,1,7685
Consulenza_Agr,1,2554
CordelGiorno,2,456
CormacJOKeeffe,1,1865
cormarch,1,69
corpoforestale,2,5007
corrierebergamo,1,3247
corrierecaserta,2,485
Cosi49Cosimo,1,1010
cosimo87_d,4,116
CreeEdge,1,234
CretellaRoberta,1,9746
